year,temp
-796562,191
-795149,188
-794517,189
-793252,195
-792658,199
-791310,209
-790993,204
-790131,205
-789541,215
-788588,221
-788203,218
-787431,226
-786937,230
-786083,248
-785855,248
-785126,257
-784637,260
-783839,255
-783463,253
-782742,251
-782197,247
-781313,252
-780109,246
-779585,249
-778662,243
-778318,249
-777414,244
-776848,246
-775950,246
-775606,246
-774686,244
-774087,239
-773101,241
-772598,237
-771730,233
-771093,230
-770126,231
-769758,230
-769310,238
-769044,236
-768774,238
-768497,236
-768183,232
-767837,226
-767564,228
-767100,221
-766705,222
-765787,218
-765146,214
-764160,216
-763785,217
-762883,223
-762299,224
-761984,221
-761736,226
-761369,215
-760921,216
-760114,212
-759503,206
-758550,207
-758252,209
-757356,215
-756933,218
-756525,218
-756309,215
-756012,219
-755611,215
-754921,211
-754407,206
-753545,202
-753291,201
-752444,196
-752034,192
-751028,197
-750655,188
-749880,190
-749351,186
-748526,184
-748244,185
-747451,183
-746963,181
-746151,180
-745809,181
-745160,181
-744693,183
-743886,180
-742893,182
-742404,181
-741639,180
-741283,182
-740608,182
-740125,178
-739357,177
-739071,179
-738327,179
-737892,185
-737187,198
-736894,200
-736322,207
-735939,211
-735316,211
-735084,208
-734510,210
-734129,204
-733509,201
-733217,202
-732654,207
-732273,205
-731593,204
-731311,204
-730598,206
-730191,204
-729379,205
-728999,204
-728349,204
-726971,205
-726618,205
-725782,206
-725242,205
-724372,208
-723987,207
-723109,206
-722495,210
-721514,213
-721183,213
-720089,211
-719368,206
-718387,195
-717844,188
-716829,184
-716114,193
-715115,205
-714754,208
-713800,222
-713230,218
-712338,222
-711893,222
-710883,219
-709471,219
-709154,219
-708287,220
-707730,220
-704459,228
-704191,229
-703460,229
-703023,234
-702261,231
-701984,231
-701434,233
-701038,232
-700431,230
-700208,229
-699656,229
-699292,228
-698794,228
-698439,229
-697959,226
-697683,228
-697152,228
-696930,226
-696436,228
-696170,231
-695710,232
-695381,232
-695013,233
-694767,235
-694337,235
-694112,235
-693668,238
-693433,237
-692991,237
-692722,236
-692350,234
-692118,235
-691689,234
-691483,234
-691040,235
-690815,233
-690388,236
-690107,236
-689722,237
-689482,236
-689049,234
-688821,240
-688344,235
-688107,236
-687653,240
-687354,236
-686931,235
-686702,236
-686245,233
-685999,232
-685520,229
-685277,229
-684776,227
-684475,224
-684030,224
-683766,224
-683267,220
-682999,220
-682469,219
-682192,218
-681662,218
-681312,219
-680812,221
-680496,223
-679899,220
-679581,217
-678970,216
-678658,218
-678131,225
-677782,223
-677302,230
-676964,231
-676341,230
-676034,227
-675430,217
-675118,216
-674574,214
-674220,217
-673639,220
-672571,214
-672223,209
-671525,202
-671145,199
-670436,195
-669976,193
-669336,195
-668966,193
-668226,189
-667801,186
-666984,179
-666497,176
-665619,172
-665045,173
-664224,179
-663695,178
-662740,186
-662242,189
-661256,189
-660719,188
-659700,190
-659031,187
-658134,184
-657574,182
-656524,189
-655973,191
-654932,199
-654336,198
-653252,193
-652523,191
-651498,185
-650852,186
-649606,192
-648941,188
-647648,195
-646996,192
-645638,191
-644773,189
-643520,195
-642712,194
-641254,190
-640455,190
-638810,189
-637898,188
-636177,194
-635007,193
-633539,194
-632642,192
-630906,196
-630051,200
-628345,200
-627496,199
-626049,205
-625261,215
-624265,228
-623620,234
-622740,237
-621264,239
-619810,243
-618388,245
-617005,248
-615594,252
-614277,252
-612973,253
-611759,256
-610564,258
-609369,260
-608186,258
-606979,259
-605758,255
-604424,249
-603126,245
-601723,239
-600328,238
-598932,233
-597484,229
-596883,226
-596016,219
-595493,216
-594565,216
-594000,221
-593239,233
-592689,238
-591920,238
-591465,233
-590747,229
-590329,226
-588943,237
-588385,244
-587918,248
-587274,250
-586766,246
-586084,239
-585697,234
-584943,226
-584456,224
-581463,211
-581084,207
-580441,210
-580050,215
-579557,219
-579210,225
-578745,230
-578450,236
-578069,244
-577871,244
-577485,252
-576907,253
-576355,249
-575819,251
-575292,251
-574773,251
-574272,253
-573780,253
-573315,249
-572853,252
-572403,252
-571952,252
-571512,249
-571087,249
-570669,248
-570240,246
-569825,250
-569417,252
-569005,250
-568598,252
-568189,252
-567778,251
-567381,250
-566996,251
-566606,250
-566217,253
-565827,253
-565431,254
-565057,253
-564669,255
-564283,254
-563901,254
-563516,254
-563127,251
-562749,253
-562361,252
-561968,251
-561567,248
-561165,246
-560740,246
-560322,242
-559896,240
-559359,234
-558980,235
-558509,232
-558022,232
-557511,228
-556979,230
-556443,230
-556233,230
-555937,235
-555435,238
-554939,240
-554774,246
-554414,251
-554193,244
-553889,249
-553687,243
-553395,241
-552881,234
-552304,227
-551676,224
-551011,224
-550300,220
-550029,222
-549502,226
-549174,222
-548687,222
-547880,220
-546983,215
-546022,214
-545623,209
-545063,203
-544006,205
-542854,210
-541726,210
-540552,210
-539395,208
-538204,204
-537009,205
-535820,211
-534672,213
-533533,206
-532414,205
-531296,199
-530169,200
-529712,191
-529085,194
-528735,195
-528066,200
-527690,204
-527151,211
-526797,215
-526312,221
-525504,220
-524711,221
-523958,223
-523214,225
-522459,228
-521716,230
-520973,234
-520266,236
-519602,237
-518942,242
-517015,244
-516384,246
-515756,248
-515119,245
-514467,246
-513821,246
-513163,247
-512479,243
-511774,242
-511047,239
-510319,238
-509565,242
-508815,235
-508058,236
-507297,233
-506526,240
-505764,237
-505061,238
-504337,236
-503566,236
-502827,234
-502133,234
-501425,232
-500675,232
-499916,231
-499180,231
-498413,228
-497660,231
-496915,231
-496154,233
-495416,237
-494658,236
-493903,238
-493135,239
-492361,238
-491557,239
-490788,240
-490009,244
-489241,247
-488495,243
-487772,243
-487525,249
-487046,253
-486739,241
-486318,242
-485591,237
-484866,231
-484093,233
-483326,233
-482515,231
-481699,231
-480853,231
-479982,227
-479085,223
-478158,224
-477194,219
-476771,221
-476174,231
-475769,237
-475212,239
-474290,237
-473268,233
-472212,233
-471152,241
-470145,246
-469813,244
-469096,244
-468647,233
-467991,229
-467520,219
-466860,216
-466373,207
-465652,206
-464315,203
-462916,204
-461506,208
-460183,210
-459737,205
-458842,200
-457480,194
-456099,191
-454641,196
-453329,202
-452073,208
-451564,203
-450845,204
-450333,199
-449643,193
-448505,193
-447294,198
-446153,202
-445034,205
-443879,201
-442700,202
-441612,208
-440461,204
-439270,201
-437615,199
-436406,202
-435202,201
-434039,202
-432854,200
-431724,208
-430649,210
-429495,208
-429113,212
-427926,227
-427056,220
-425616,243
-425335,248
-424648,252
-424025,255
-423619,265
-423292,270
-422890,271
-422382,268
-421814,268
-420699,271
-420124,266
-419534,269
-418400,274
-417858,271
-417310,274
-416295,275
-415748,272
-415241,273
-414243,272
-413767,276
-413013,272
-411998,265
-411012,275
-409121,284
-408256,283
-407433,275
-406650,285
-405143,286
-404418,280
-402977,281
-402231,277
-400781,276
-400050,283
-398554,283
-397772,277
-396136,276
-392610,261
-391629,274
-390594,260
-389946,266
-387996,250
-386112,255
-384194,259
-383448,265
-382584,258
-380720,246
-379182,247
-377746,239
-376146,240
-374618,227
-370696,230
-369140,225
-367496,215
-365906,200
-364285,202
-361435,206
-359007,201
-356762,186
-354948,186
-353352,193
-350325,209
-348975,209
-347738,216
-346348,221
-344030,220
-342496,212
-341332,205
-339852,205
-338506,201
-337348,250
-335441,234
-334775,240
-333968,242
-333337,256
-332798,271
-332311,279
-331940,286
-331430,278
-330969,299
-330512,288
-330335,289
-329994,282
-329488,273
-328790,273
-328258,272
-327525,265
-326271,275
-325640,272
-325022,270
-324371,266
-323770,264
-323021,266
-322330,261
-321576,260
-320817,260
-320065,257
-318408,249
-317530,256
-316609,233
-315784,245
-314947,252
-314250,273
-313622,247
-312917,257
-312194,257
-311464,252
-310726,242
-309918,239
-309063,238
-308218,233
-307439,226
-306794,228
-305545,226
-304597,245
-303705,249
-302951,250
-302282,241
-301276,240
-300330,236
-299452,239
-298522,236
-297671,231
-296791,224
-295971,217
-293980,213
-292618,213
-291829,207
-291107,206
-290455,208
-289417,217
-288780,220
-288203,235
-286283,231
-285588,230
-285086,231
-284178,226
-283430,228
-281835,231
-279808,224
-278319,215
-277370,211
-276400,205
-275411,202
-274376,193
-273400,198
-272371,194
-271360,194
-270361,190
-269306,185
