Year,NASA - Antarctica land ice mass,NASA - Greenland land ice mass,Average
2002,19.48,67.36,43.42
2002.62,-58.91,-219.73,-139.32
2002.71,47.16,-242.79,-97.815
2002.79,63.42,-207.56,-72.07
2002.87,-67.41,-210.72,-139.065
2002.96,-49.02,-193.61,-121.315
2003.04,-48.42,-147.27,-97.845
2003.12,-199.36,-156.73,-178.045
2003.2,-170.58,-91.11,-130.845
2003.29,-43.24,-45.43,-44.335
2003.36,0.79,-38.22,-18.715
2003.54,-127.98,-215.04,-171.51
2003.62,-121.67,-350.92,-236.295
2003.71,-130.28,-393.05,-261.665
2003.79,-47.47,-390.32,-218.895
2003.87,-106.66,-393.16,-249.91
2003.96,-272.18,-352.75,-312.465
2004.02,-329.2,-376.85,-353.025
2004.13,-491.31,-383.96,-437.635
2004.21,-340.3,-361.37,-350.835
2004.29,-386.05,-299.68,-342.865
2004.37,-155.49,-315.99,-235.74
2004.46,-187.95,-335.58,-261.765
2004.54,-313.33,-432.9,-373.115
2004.62,-165.84,-557.96,-361.9
2004.71,-160.77,-598.28,-379.525
2004.79,-85.93,-617.86,-351.895
2004.87,-226,-575.39,-400.695
2004.96,-305.46,-551.08,-428.27
2005.04,-393.93,-565.55,-479.74
2005.12,-454.97,-543.51,-499.24
2005.2,-405.23,-497.31,-451.27
2005.29,-251.37,-490.26,-370.815
2005.37,-228.44,-452.66,-340.55
2005.46,-203.53,-500.73,-352.13
2005.54,-158.73,-630.03,-394.38
2005.62,-208.9,-819.21,-514.055
2005.71,-112.4,-885.81,-499.105
2005.79,-105.47,-875.86,-490.665
2005.87,-58.46,-873.97,-466.215
2005.96,-159.09,-824.38,-491.735
2006.04,-224.74,-847.16,-535.95
2006.12,-317.94,-799.01,-558.475
2006.2,-182.87,-777.21,-480.04
2006.29,-158.2,-802.83,-480.515
2006.37,-80.91,-791.92,-436.415
2006.45,-48.72,-803.74,-426.23
2006.54,-98.35,-889.76,-494.055
2006.62,-8.54,-1016.69,-512.615
2006.71,-20.02,-1077.39,-548.705
2006.79,-96.06,-1064.33,-580.195
2006.87,-89.3,-1092.02,-590.66
2006.96,-234.2,-1100.83,-667.515
2007.04,-438.79,-1067.75,-753.27
2007.12,-429.59,-1025.73,-727.66
2007.2,-361.06,-1035.79,-698.425
2007.29,-336.29,-1021.01,-678.65
2007.37,-179.53,-1009.11,-594.32
2007.45,-191.34,-1029.18,-610.26
2007.54,-268.11,-1159.4,-713.755
2007.62,-229.94,-1356.28,-793.11
2007.71,-156.77,-1418.89,-787.83
2007.79,-246.67,-1445.48,-846.075
2007.87,-438.39,-1422.46,-930.425
2007.96,-521.24,-1362.58,-941.91
2008.04,-729.64,-1323.4,-1026.52
2008.12,-607.59,-1342.23,-974.91
2008.21,-740.76,-1286.54,-1013.65
2008.29,-561.68,-1306.34,-934.01
2008.37,-473.58,-1320.23,-896.905
2008.46,-557.79,-1323.29,-940.54
2008.54,-651.46,-1471.46,-1061.46
2008.62,-603.25,-1631.94,-1117.595
2008.71,-442.26,-1696.88,-1069.57
2008.79,-533.13,-1685.22,-1109.175
2008.87,-520.47,-1609.54,-1065.005
2008.96,-624.26,-1538.42,-1081.34
2009.04,-706.63,-1519.06,-1112.845
2009.12,-681.11,-1564.83,-1122.97
2009.2,-617.1,-1564.61,-1090.855
2009.29,-579.96,-1544.46,-1062.21
2009.37,-553.68,-1526.97,-1040.325
2009.46,-540.14,-1535.04,-1037.59
