Country,Temperature,Year,Continent
 Anguilla,34.2 ,2015,North America
 Antigua and Barbuda,34.9 ,1995,North America
 British Virgin Islands,35.0 ,2016,North America
 Canada,49.6 ,2021,North America
 Cayman Islands,34.9 ,2016,North America
 Cuba,39.7 ,2020,North America
 Dominican Republic,43.0 ,1954,North America
 Greenland,30.1 ,1915,North America
 Guatemala,45.0 ,1998,North America
 Martinique,36.5 ,2010,North America
 Mexico,52.0 ,1995,North America
 Panama,40.0 ,1998,North America
 Puerto Rico,40.0 ,1996,North America
 United States,56.7 ,1913,North America
 United States Virgin Islands,37.2 ,1994,North America
