Country,Temperature,Year,Continent
 Andorra,39.4,2019,Europe
 Armenia,43.7,2018,Europe
 Austria,40.5,2013,Europe
 Belarus,38.9,2010,Europe
 Belgium,41.8,2019,Europe
 Bosnia and Herzegovina,46.2,1901,Europe
 Bulgaria,45.2,1916,Europe
 Croatia,42.8,1981,Europe
 Cyprus,46.2,2020,Europe
 Czech Republic,40.4,2012,Europe
 Denmark,36.4,1975,Europe
 Estonia,35.6,1992,Europe
 Finland,37.2,2010,Europe
 France,46,2019,Europe
 Germany,41.2,2019,Europe
 Greece,48,1977,Europe
 Hungary,41.9,2007,Europe
 Iceland,30.5,1939,Europe
 Ireland,33.3,1887,Europe
 Italy,47,2007,Europe
 Latvia,37.8,2014,Europe
 Liechtenstein,37.4,2003,Europe
 Lithuania,37.5,1994,Europe
 Luxembourg,40.8,2019,Europe
 Malta,43.8,1999,Europe
 Moldova,42.4,2012,Europe
 Montenegro,44.8,2012,Europe
 Netherlands,40.7,2019,Europe
 North Macedonia,45.7,2007,Europe
 Norway,35.6,1970,Europe
 Poland,40.2,1921,Europe
 Portugal,47.4,2003,Europe
 Romania,44.5,1951,Europe
 Russia (in Europe),45.4,2010,Europe
 San Marino,40.3,2017,Europe
 Serbia,44.9,2007,Europe
 Slovakia,40.3,2007,Europe
 Slovenia,40.8,2013,Europe
 Spain,47.6,2021,Europe
 Sweden,38,1947,Europe
 Switzerland,41.5,2003,Europe
 Ukraine,42,2010,Europe
 United Kingdom,40.3,2022,Europe
  Vatican City,40.7,2017,Europe
